req_id,department,function,title,approved_date,planned_start_date,actual_start_date,req_type,status,budgeted_salary,linked_employee_id
REQ-0001,People Operations,G&A,Senior Financial Analyst,2025-01-16,2025-03-18,2025-03-15,Backfill,Filled,109500.00,EMP-0239
REQ-0002,Sales - Mid-Market,Sales,Senior Account Executive,2025-01-30,2025-04-06,2025-04-02,Backfill,Filled,103900.00,EMP-0242
REQ-0003,Sales - SMB,Sales,Account Executive,2025-01-01,2025-02-15,2025-04-02,Backfill,Filled,73600.00,EMP-0243
REQ-0004,Sales - SMB,Sales,Enterprise Account Executive,2025-02-08,2025-04-08,2025-04-04,Backfill,Filled,113400.00,EMP-0244
REQ-0005,Cloud Operations,Support & Cloud Ops,"Director, Cloud Operations",2025-01-11,2025-02-25,2025-04-11,Backfill,Filled,166000.00,EMP-0246
REQ-0006,Sales - Enterprise,Sales,Senior Account Executive,2025-01-16,2025-03-10,2025-04-19,Backfill,Filled,103200.00,EMP-0248
REQ-0007,Engineering,Engineering,"Director, Engineering",2025-01-05,2025-03-12,2025-04-19,Backfill,Filled,145300.00,EMP-0249
REQ-0008,Product & Design,Product & Design,Product Manager,2025-02-22,2025-04-22,2025-04-19,Backfill,Filled,80600.00,EMP-0250
REQ-0009,Professional Services,Professional Services,Implementation Consultant,2025-03-28,2025-05-05,2025-05-05,New,Filled,83300.00,EMP-0252
REQ-0010,Demand Generation,Marketing,"Manager, Demand Generation",2025-01-29,2025-04-12,2025-05-11,Backfill,Filled,153300.00,EMP-0254
REQ-0011,Engineering,Engineering,Senior Software Engineer,2025-04-07,2025-05-20,2025-05-15,Backfill,Filled,84000.00,EMP-0256
REQ-0012,Engineering,Engineering,Software Engineer,2025-02-10,2025-04-01,2025-05-26,Backfill,Filled,71000.00,EMP-0257
REQ-0013,Customer Success,Customer Success,"Manager, Customer Success",2025-02-20,2025-05-05,2025-06-10,Backfill,Filled,116200.00,EMP-0258
REQ-0014,Engineering,Engineering,Staff Software Engineer,2025-03-23,2025-05-07,2025-06-14,Backfill,Filled,110600.00,EMP-0259
REQ-0015,Professional Services,Professional Services,Implementation Consultant,2025-03-24,2025-05-18,2025-06-26,New,Filled,69900.00,EMP-0260
REQ-0016,Professional Services,Professional Services,Senior Implementation Consultant,2025-04-23,2025-06-24,2025-07-03,New,Filled,79800.00,EMP-0261
REQ-0017,Sales Leadership,Sales,Enterprise Account Executive,2025-03-23,2025-04-27,2025-07-05,Backfill,Filled,148400.00,EMP-0262
REQ-0018,Support,Support & Cloud Ops,Support Engineer,2025-06-24,2025-07-31,2025-08-03,Backfill,Filled,69000.00,EMP-0266
REQ-0019,Sales - Enterprise,Sales,Account Executive,2025-06-11,2025-07-13,2025-08-09,Backfill,Filled,84100.00,EMP-0267
REQ-0020,Product Marketing,Marketing,Marketing Manager,2025-03-14,2025-05-19,2025-08-11,Backfill,Filled,103900.00,EMP-0268
REQ-0021,Engineering,Engineering,Staff Software Engineer,2025-06-01,2025-08-06,2025-08-11,Backfill,Filled,119700.00,EMP-0269
REQ-0022,Product & Design,Product & Design,"Manager, Design",2025-07-18,2025-08-23,2025-08-25,New,Filled,115500.00,EMP-0270
REQ-0023,Sales - Mid-Market,Sales,Senior Account Executive,2025-06-15,2025-07-28,2025-08-25,Backfill,Filled,116200.00,EMP-0271
REQ-0024,Customer Success,Customer Success,"Manager, Customer Success",2025-07-21,2025-09-15,2025-09-12,Backfill,Filled,126000.00,EMP-0272
REQ-0025,Engineering,Engineering,Staff Software Engineer,2025-05-26,2025-08-07,2025-09-15,Backfill,Filled,109500.00,EMP-0273
REQ-0026,Sales - Mid-Market,Sales,Senior Account Executive,2025-06-10,2025-08-15,2025-10-03,Backfill,Filled,106900.00,EMP-0276
